clientDate, clientSrcIp, clientSrcPort, clientDstIp, clientDstPort, clientConnId, clientInterval, clientTransferedBytes, clientGoodput, serverDate, serverSrcIp, serverSrcPort, serverDstIp, serverDstPort, serverConnId, serverInterval, serverTransferedBytes, serverGoodput
20191202000250,192.168.0.108,41006,131.188.37.207,50004,3,0.0-10.1,478412800,380070204,20191202000250,131.188.37.207,50004,95.90.222.138,43988,4,0.0-10.0,478412800,382473332
20191202000744,192.168.0.108,41028,131.188.37.207,50004,3,0.0-10.1,463601664,368123826,20191202000744,131.188.37.207,50004,95.90.222.138,43984,4,0.0-10.0,463601664,370380539
20191202001239,192.168.0.108,41050,131.188.37.207,50004,3,0.0-10.1,472121344,374727769,20191202001239,131.188.37.207,50004,95.90.222.138,43986,4,0.0-10.0,472121344,376994244
20191202001734,192.168.0.108,41072,131.188.37.207,50004,3,0.0-10.1,485490688,385574004,20191202001734,131.188.37.207,50004,95.90.222.138,43924,4,0.0-10.0,485490688,387916964
20191202002228,192.168.0.108,41094,131.188.37.207,50004,3,0.0-10.1,472776704,375440922,20191202002228,131.188.37.207,50004,95.90.222.138,43986,4,0.0-10.0,472776704,377988862
20191202002723,192.168.0.108,41116,131.188.37.207,50004,3,0.0-10.1,484179968,384280070,20191202002723,131.188.37.207,50004,95.90.222.138,43984,4,0.0-10.0,484179968,387341882
20191202003217,192.168.0.108,41138,131.188.37.207,50004,3,0.0-10.1,481951744,382442462,20191202003217,131.188.37.207,50004,95.90.222.138,43952,4,0.0-10.0,481951744,384714753
20191202003712,192.168.0.108,41160,131.188.37.207,50004,3,0.0-10.1,479068160,380647284,20191202003712,131.188.37.207,50004,95.90.222.138,43934,4,0.0-10.0,479068160,383021497
20191202004206,192.168.0.108,41182,131.188.37.207,50004,3,0.0-10.1,452329472,359338541,20191202004206,131.188.37.207,50004,95.90.222.138,43936,4,0.0-10.0,452329472,361785251
20191202004701,192.168.0.108,41204,131.188.37.207,50004,3,0.0-10.1,460849152,365552531,20191202004701,131.188.37.207,50004,95.90.222.138,44010,4,0.0-10.0,460849152,367933814
20191202005156,192.168.0.108,41226,131.188.37.207,50004,3,0.0-10.1,485752832,385207967,20191202005155,131.188.37.207,50004,95.90.222.138,43926,4,0.0-10.0,485752832,387717223
20191202005650,192.168.0.108,41248,131.188.37.207,50004,3,0.0-10.1,468713472,372381941,20191202005650,131.188.37.207,50004,95.90.222.138,43948,4,0.0-10.0,468713472,374698708
