clientDate, clientSrcIp, clientSrcPort, clientDstIp, clientDstPort, clientConnId, clientInterval, clientTransferedBytes, clientGoodput, serverDate, serverSrcIp, serverSrcPort, serverDstIp, serverDstPort, serverConnId, serverInterval, serverTransferedBytes, serverGoodput
20191202000316,192.168.1.230,57660,131.188.37.207,50004,3,0.0-10.5,77856768,59180121,20191202000315,131.188.37.207,50004,91.15.236.140,57660,4,0.0-10.2,77856768,61257959
20191202000810,192.168.1.230,57682,131.188.37.207,50004,3,0.0-10.5,79429632,60774241,20191202000810,131.188.37.207,50004,91.15.236.140,57682,4,0.0-10.1,79429632,62886385
20191202001305,192.168.1.230,57704,131.188.37.207,50004,3,0.0-10.5,75235328,57232136,20191202001304,131.188.37.207,50004,91.15.236.140,57704,4,0.0-10.2,75235328,59217235
20191202001759,192.168.1.230,57726,131.188.37.207,50004,3,0.0-10.5,62128128,47411520,20191202001759,131.188.37.207,50004,91.15.236.140,57726,4,0.0-10.1,62128128,49151946
20191202002254,192.168.1.230,57748,131.188.37.207,50004,3,0.0-10.4,67764224,51976165,20191202002253,131.188.37.207,50004,91.15.236.140,57748,4,0.0-10.1,67764224,53857963
20191202002748,192.168.1.230,57770,131.188.37.207,50004,3,0.0-10.5,73662464,56158686,20191202002748,131.188.37.207,50004,91.15.236.140,57770,4,0.0-10.1,73662464,58143653
20191202003243,192.168.1.230,57792,131.188.37.207,50004,3,0.0-10.4,78643200,60480172,20191202003243,131.188.37.207,50004,91.15.236.140,57792,4,0.0-10.1,78643200,62580505
20191202003738,192.168.1.230,57814,131.188.37.207,50004,3,0.0-10.4,66846720,51419278,20191202003737,131.188.37.207,50004,91.15.236.140,57814,4,0.0-10.0,66846720,53243069
20191202004232,192.168.1.230,57836,131.188.37.207,50004,3,0.0-10.5,65404928,49713071,20191202004232,131.188.37.207,50004,91.15.236.140,57836,4,0.0-10.2,65404928,51449339
20191202004727,192.168.1.230,57858,131.188.37.207,50004,3,0.0-10.5,78381056,59727608,20191202004726,131.188.37.207,50004,91.15.236.140,57858,4,0.0-10.2,78381056,61775427
20191202005221,192.168.1.230,57880,131.188.37.207,50004,3,0.0-10.3,57278464,44554041,20191202005221,131.188.37.207,50004,91.15.236.140,57880,4,0.0-10.0,57278464,45634256
20191202005716,192.168.1.230,57902,131.188.37.207,50004,3,0.0-10.4,67764224,51914375,20191202005715,131.188.37.207,50004,91.15.236.140,57902,4,0.0-10.1,67764224,53715600
20191202010211,192.168.1.230,57924,131.188.37.207,50004,3,0.0-10.5,79298560,60182036,20191202010210,131.188.37.207,50004,91.15.236.140,57924,4,0.0-10.2,79298560,62319631
20191202010705,192.168.1.230,57946,131.188.37.207,50004,3,0.0-10.5,78774272,60228380,20191202010705,131.188.37.207,50004,91.15.236.140,57946,4,0.0-10.1,78774272,62382547
20191202011159,192.168.1.230,57968,131.188.37.207,50004,3,0.0-10.4,66322432,51057271,20191202011159,131.188.37.207,50004,91.15.236.140,57968,4,0.0-10.0,66322432,52819144
20191202011654,192.168.1.230,57990,131.188.37.207,50004,3,0.0-10.4,66191360,50876238,20191202011654,131.188.37.207,50004,91.15.236.140,57990,4,0.0-10.1,66191360,52661003
20191202012148,192.168.1.230,58012,131.188.37.207,50004,3,0.0-10.4,67764224,51960208,20191202012148,131.188.37.207,50004,91.15.236.140,58012,4,0.0-10.1,67764224,53747735
20191202012643,192.168.1.230,58034,131.188.37.207,50004,3,0.0-10.5,76414976,58111413,20191202012642,131.188.37.207,50004,91.15.236.140,58034,4,0.0-10.2,76414976,60209653
20191202013137,192.168.1.230,58056,131.188.37.207,50004,3,0.0-10.5,67633152,51762899,20191202013137,131.188.37.207,50004,91.15.236.140,58056,4,0.0-10.1,67633152,53549425
20191202013632,192.168.1.230,58078,131.188.37.207,50004,3,0.0-10.3,77332480,59774359,20191202013632,131.188.37.207,50004,91.15.236.140,58078,4,0.0-10.0,77332480,61847337
20191202014126,192.168.1.230,58100,131.188.37.207,50004,3,0.0-10.4,77987840,60153935,20191202014126,131.188.37.207,50004,91.15.236.140,58100,4,0.0-10.0,77987840,62295128
20191202014621,192.168.1.230,58122,131.188.37.207,50004,3,0.0-10.4,77594624,59845098,20191202014620,131.188.37.207,50004,91.15.236.140,58122,4,0.0-10.0,77594624,61972180
20191202015115,192.168.1.230,58144,131.188.37.207,50004,3,0.0-10.4,76939264,58925299,20191202015115,131.188.37.207,50004,91.15.236.140,58144,4,0.0-10.1,76939264,60993346
20191202015611,192.168.1.230,58166,131.188.37.207,50004,3,0.0-10.5,79429632,60666992,20191202015610,131.188.37.207,50004,91.15.236.140,58166,4,0.0-10.1,79429632,62796570
20191202020105,192.168.1.230,58188,131.188.37.207,50004,3,0.0-10.4,77856768,60035343,20191202020105,131.188.37.207,50004,91.15.236.140,58188,4,0.0-10.0,77856768,62166719
20191202021054,192.168.1.230,58232,131.188.37.207,50004,3,0.0-10.5,79560704,60858062,20191202021054,131.188.37.207,50004,91.15.236.140,58232,4,0.0-10.1,79560704,62953387
20191202021549,192.168.1.230,58254,131.188.37.207,50004,3,0.0-10.4,79429632,61026449,20191202021548,131.188.37.207,50004,91.15.236.140,58254,4,0.0-10.1,79429632,63197371
20191202022043,192.168.1.230,58276,131.188.37.207,50004,3,0.0-10.5,79298560,60652003,20191202022043,131.188.37.207,50004,91.15.236.140,58276,4,0.0-10.1,79298560,62728932
20191202022538,192.168.1.230,58298,131.188.37.207,50004,3,0.0-10.5,69074944,52442388,20191202022537,131.188.37.207,50004,91.15.236.140,58298,4,0.0-10.2,69074944,54306111
20191202023032,192.168.1.230,58320,131.188.37.207,50004,3,0.0-10.4,77987840,59887903,20191202023032,131.188.37.207,50004,91.15.236.140,58320,4,0.0-10.0,77987840,62110971
20191202023527,192.168.1.230,58342,131.188.37.207,50004,3,0.0-10.4,77332480,59581211,20191202023526,131.188.37.207,50004,91.15.236.140,58342,4,0.0-10.0,77332480,61680935
20191202024021,192.168.1.230,58364,131.188.37.207,50004,3,0.0-10.5,78774272,59790741,20191202024021,131.188.37.207,50004,91.15.236.140,58364,4,0.0-10.2,78774272,61904249
20191202024516,192.168.1.230,58386,131.188.37.207,50004,3,0.0-10.4,77070336,59327595,20191202024515,131.188.37.207,50004,91.15.236.140,58386,4,0.0-10.0,77070336,61427549
20191202025011,192.168.1.230,58408,131.188.37.207,50004,3,0.0-10.4,67633152,51881017,20191202025011,131.188.37.207,50004,91.15.236.140,58408,4,0.0-10.1,67633152,53720267
20191202025506,192.168.1.230,58430,131.188.37.207,50004,3,0.0-10.4,77856768,59698756,20191202025506,131.188.37.207,50004,91.15.236.140,58430,4,0.0-10.1,77856768,61808659
20191202030001,192.168.1.230,58452,131.188.37.207,50004,3,0.0-10.4,77463552,59799942,20191202030000,131.188.37.207,50004,91.15.236.140,58452,4,0.0-10.0,77463552,61926106
20191202030455,192.168.1.230,58474,131.188.37.207,50004,3,0.0-10.5,62521344,47807055,20191202030455,131.188.37.207,50004,91.15.236.140,58474,4,0.0-10.1,62521344,49517184
20191202030950,192.168.1.230,58496,131.188.37.207,50004,3,0.0-10.5,79298560,60436720,20191202030950,131.188.37.207,50004,91.15.236.140,58496,4,0.0-10.1,79298560,62578697
20191202031445,192.168.1.230,58518,131.188.37.207,50004,3,0.0-10.3,71434240,55222970,20191202031444,131.188.37.207,50004,91.15.236.140,58518,4,0.0-10.0,71434240,57022205
20191202031939,192.168.1.230,58540,131.188.37.207,50004,3,0.0-10.4,77987840,60181786,20191202031939,131.188.37.207,50004,91.15.236.140,58540,4,0.0-10.0,77987840,62306189
20191202032434,192.168.1.230,58562,131.188.37.207,50004,3,0.0-10.4,67764224,52066504,20191202032434,131.188.37.207,50004,91.15.236.140,58562,4,0.0-10.1,67764224,53873736
20191202032929,192.168.1.230,58584,131.188.37.207,50004,3,0.0-10.4,77594624,59638122,20191202032929,131.188.37.207,50004,91.15.236.140,58584,4,0.0-10.1,77594624,61752701
20191202033424,192.168.1.230,58606,131.188.37.207,50004,3,0.0-10.5,79822848,60674297,20191202033424,131.188.37.207,50004,91.15.236.140,58606,4,0.0-10.2,79822848,62759818
20191202033919,192.168.1.230,58628,131.188.37.207,50004,3,0.0-10.5,74448896,56736677,20191202033918,131.188.37.207,50004,91.15.236.140,58628,4,0.0-10.1,74448896,58763447
20191202034413,192.168.1.230,58650,131.188.37.207,50004,3,0.0-10.4,67895296,52104599,20191202034413,131.188.37.207,50004,91.15.236.140,58650,4,0.0-10.1,67895296,53942983
20191202034908,192.168.1.230,58672,131.188.37.207,50004,3,0.0-10.4,77856768,60128647,20191202034908,131.188.37.207,50004,91.15.236.140,58672,4,0.0-10.0,77856768,62261779
20191202035403,192.168.1.230,58694,131.188.37.207,50004,3,0.0-10.5,79429632,60474037,20191202035403,131.188.37.207,50004,91.15.236.140,58694,4,0.0-10.2,79429632,62575740
20191202035858,192.168.1.230,58716,131.188.37.207,50004,3,0.0-10.5,67764224,51580883,20191202035857,131.188.37.207,50004,91.15.236.140,58716,4,0.0-10.1,67764224,53412867
20191202040352,192.168.1.230,58738,131.188.37.207,50004,3,0.0-10.5,75497472,57486176,20191202040352,131.188.37.207,50004,91.15.236.140,58738,4,0.0-10.1,75497472,59524497
20191202040847,192.168.1.230,58760,131.188.37.207,50004,3,0.0-10.5,79560704,60752491,20191202040846,131.188.37.207,50004,91.15.236.140,58760,4,0.0-10.1,79560704,62905230
20191202041341,192.168.1.230,58782,131.188.37.207,50004,3,0.0-10.4,67633152,52150964,20191202041341,131.188.37.207,50004,91.15.236.140,58782,4,0.0-10.0,67633152,54012388
20191202041836,192.168.1.230,58804,131.188.37.207,50004,3,0.0-10.5,69468160,53156721,20191202041836,131.188.37.207,50004,91.15.236.140,58804,4,0.0-10.1,69468160,55055650
20191202042331,192.168.1.230,58826,131.188.37.207,50004,3,0.0-10.4,77987840,60189021,20191202042331,131.188.37.207,50004,91.15.236.140,58826,4,0.0-10.0,77987840,62319184
20191202042826,192.168.1.230,58848,131.188.37.207,50004,3,0.0-10.5,80216064,60991747,20191202042825,131.188.37.207,50004,91.15.236.140,58848,4,0.0-10.2,80216064,63100384
20191202043320,192.168.1.230,58870,131.188.37.207,50004,3,0.0-10.5,74055680,56608912,20191202043320,131.188.37.207,50004,91.15.236.140,58870,4,0.0-10.1,74055680,58591332
20191202043815,192.168.1.230,58892,131.188.37.207,50004,3,0.0-10.5,79429632,60652272,20191202043815,131.188.37.207,50004,91.15.236.140,58892,4,0.0-10.1,79429632,62796639
20191202044309,192.168.1.230,58914,131.188.37.207,50004,3,0.0-10.4,67764224,52061314,20191202044309,131.188.37.207,50004,91.15.236.140,58914,4,0.0-10.1,67764224,53913651
20191202044804,192.168.1.230,58936,131.188.37.207,50004,3,0.0-10.6,73007104,55252249,20191202044804,131.188.37.207,50004,91.15.236.140,58936,4,0.0-10.2,73007104,57338938
20191202045259,192.168.1.230,58958,131.188.37.207,50004,3,0.0-10.4,77856768,59983724,20191202045259,131.188.37.207,50004,91.15.236.140,58958,4,0.0-10.0,77856768,62138983
20191202045753,192.168.1.230,58980,131.188.37.207,50004,3,0.0-10.4,77594624,59741704,20191202045753,131.188.37.207,50004,91.15.236.140,58980,4,0.0-10.0,77594624,61851894
20191202050248,192.168.1.230,59002,131.188.37.207,50004,3,0.0-10.5,79953920,60744197,20191202050248,131.188.37.207,50004,91.15.236.140,59002,4,0.0-10.2,79953920,62840509
20191202050743,192.168.1.230,59024,131.188.37.207,50004,3,0.0-10.6,75628544,57218910,20191202050742,131.188.37.207,50004,91.15.236.140,59024,4,0.0-10.2,75628544,59417345
20191202051237,192.168.1.230,59046,131.188.37.207,50004,3,0.0-10.4,75628544,58061171,20191202051237,131.188.37.207,50004,91.15.236.140,59046,4,0.0-10.1,75628544,59938252
