clientDate, clientSrcIp, clientSrcPort, clientDstIp, clientDstPort, clientConnId, clientInterval, clientTransferedBytes, clientGoodput, serverDate, serverSrcIp, serverSrcPort, serverDstIp, serverDstPort, serverConnId, serverInterval, serverTransferedBytes, serverGoodput
20191202000341,192.168.1.230,57664,131.188.37.207,50004,3,0.0-10.1,464125952,368657597,20191202000341,131.188.37.207,50004,91.15.236.140,57664,4,0.0-10.0,464125952,369860856
20191202000835,192.168.1.230,57686,131.188.37.207,50004,3,0.0-10.1,481296384,383044814,20191202000835,131.188.37.207,50004,91.15.236.140,57686,4,0.0-10.0,481296384,384383232
20191202001330,192.168.1.230,57708,131.188.37.207,50004,3,0.0-10.0,388366336,309538983,20191202001330,131.188.37.207,50004,91.15.236.140,57708,4,0.0-10.0,388366336,310684183
20191202001825,192.168.1.230,57730,131.188.37.207,50004,3,0.0-10.1,415236096,330420367,20191202001825,131.188.37.207,50004,91.15.236.140,57730,4,0.0-10.0,415236096,331645972
20191202002319,192.168.1.230,57752,131.188.37.207,50004,3,0.0-10.1,479068160,381141820,20191202002319,131.188.37.207,50004,91.15.236.140,57752,4,0.0-10.0,479068160,382953717
20191202002814,192.168.1.230,57774,131.188.37.207,50004,3,0.0-10.0,460849152,367229536,20191202002814,131.188.37.207,50004,91.15.236.140,57774,4,0.0-10.0,460849152,368502882
20191202003308,192.168.1.230,57796,131.188.37.207,50004,3,0.0-10.1,432930816,344607623,20191202003308,131.188.37.207,50004,91.15.236.140,57796,4,0.0-10.0,432930816,345761698
20191202003803,192.168.1.230,57818,131.188.37.207,50004,3,0.0-10.0,449445888,358281300,20191202003803,131.188.37.207,50004,91.15.236.140,57818,4,0.0-10.0,449445888,359442623
20191202004257,192.168.1.230,57840,131.188.37.207,50004,3,0.0-10.1,475529216,378522131,20191202004257,131.188.37.207,50004,91.15.236.140,57840,4,0.0-10.0,475529216,379913528
20191202004752,192.168.1.230,57862,131.188.37.207,50004,3,0.0-10.0,481951744,383765220,20191202004752,131.188.37.207,50004,91.15.236.140,57862,4,0.0-10.0,481951744,385553105
20191202005246,192.168.1.230,57884,131.188.37.207,50004,3,0.0-10.0,433848320,345728138,20191202005246,131.188.37.207,50004,91.15.236.140,57884,4,0.0-10.0,433848320,346969776
20191202005741,192.168.1.230,57906,131.188.37.207,50004,3,0.0-10.1,470548480,372905762,20191202005741,131.188.37.207,50004,91.15.236.140,57906,4,0.0-10.0,470548480,375334400
20191202010236,192.168.1.230,57928,131.188.37.207,50004,3,0.0-10.1,484573184,384582235,20191202010236,131.188.37.207,50004,91.15.236.140,57928,4,0.0-10.0,484573184,386243890
20191202010730,192.168.1.230,57950,131.188.37.207,50004,3,0.0-10.1,412090368,327935286,20191202010730,131.188.37.207,50004,91.15.236.140,57950,4,0.0-10.0,412090368,329129198
20191202011225,192.168.1.230,57972,131.188.37.207,50004,3,0.0-10.1,441057280,349732539,20191202011225,131.188.37.207,50004,91.15.236.140,57972,4,0.0-10.0,441057280,352230301
20191202011719,192.168.1.230,57994,131.188.37.207,50004,3,0.0-10.1,433455104,344931874,20191202011719,131.188.37.207,50004,91.15.236.140,57994,4,0.0-10.0,433455104,346228329
20191202012214,192.168.1.230,58016,131.188.37.207,50004,3,0.0-10.1,468451328,372817786,20191202012214,131.188.37.207,50004,91.15.236.140,58016,4,0.0-10.0,468451328,374135022
20191202012708,192.168.1.230,58038,131.188.37.207,50004,3,0.0-10.0,444989440,354300299,20191202012708,131.188.37.207,50004,91.15.236.140,58038,4,0.0-10.0,444989440,355579044
20191202013203,192.168.1.230,58060,131.188.37.207,50004,3,0.0-10.0,433586176,345170563,20191202013203,131.188.37.207,50004,91.15.236.140,58060,4,0.0-10.0,433586176,346424720
20191202013657,192.168.1.230,58082,131.188.37.207,50004,3,0.0-10.0,467927040,372547814,20191202013657,131.188.37.207,50004,91.15.236.140,58082,4,0.0-10.0,467927040,374339835
20191202014152,192.168.1.230,58104,131.188.37.207,50004,3,0.0-10.0,470810624,375494454,20191202014152,131.188.37.207,50004,91.15.236.140,58104,4,0.0-10.0,470810624,376643941
20191202014646,192.168.1.230,58126,131.188.37.207,50004,3,0.0-10.0,490602496,390926578,20191202014646,131.188.37.207,50004,91.15.236.140,58126,4,0.0-10.0,490602496,392329459
20191202015140,192.168.1.230,58148,131.188.37.207,50004,3,0.0-10.0,440532992,350833609,20191202015140,131.188.37.207,50004,91.15.236.140,58148,4,0.0-10.0,440532992,352327988
20191202015636,192.168.1.230,58170,131.188.37.207,50004,3,0.0-10.1,477888512,380338677,20191202015636,131.188.37.207,50004,91.15.236.140,58170,4,0.0-10.0,477888512,381814145
20191202020131,192.168.1.230,58192,131.188.37.207,50004,3,0.0-10.0,477888512,380664890,20191202020131,131.188.37.207,50004,91.15.236.140,58192,4,0.0-10.0,477888512,382154737
20191202020625,192.168.1.230,58214,131.188.37.207,50004,3,0.0-10.1,424804352,337329667,20191202020625,131.188.37.207,50004,91.15.236.140,58214,4,0.0-10.0,424804352,339347118
20191202021119,192.168.1.230,58236,131.188.37.207,50004,3,0.0-10.0,452198400,360376029,20191202021119,131.188.37.207,50004,91.15.236.140,58236,4,0.0-10.0,452198400,361668339
20191202021614,192.168.1.230,58258,131.188.37.207,50004,3,0.0-10.1,422576128,335685691,20191202021614,131.188.37.207,50004,91.15.236.140,58258,4,0.0-10.0,422576128,337025828
20191202022108,192.168.1.230,58280,131.188.37.207,50004,3,0.0-10.1,481820672,383536629,20191202022108,131.188.37.207,50004,91.15.236.140,58280,4,0.0-10.0,481820672,385297140
20191202022603,192.168.1.230,58302,131.188.37.207,50004,3,0.0-10.1,426246144,338866057,20191202022603,131.188.37.207,50004,91.15.236.140,58302,4,0.0-10.0,426246144,340992311
20191202023057,192.168.1.230,58324,131.188.37.207,50004,3,0.0-10.0,484048896,385799659,20191202023057,131.188.37.207,50004,91.15.236.140,58324,4,0.0-10.0,484048896,387185452
20191202023552,192.168.1.230,58346,131.188.37.207,50004,3,0.0-10.1,434503680,345824094,20191202023552,131.188.37.207,50004,91.15.236.140,58346,4,0.0-10.0,434503680,347032006
20191202024047,192.168.1.230,58368,131.188.37.207,50004,3,0.0-10.1,485883904,386581735,20191202024047,131.188.37.207,50004,91.15.236.140,58368,4,0.0-10.0,485883904,388023697
20191202024541,192.168.1.230,58390,131.188.37.207,50004,3,0.0-10.0,369491968,294399900,20191202024541,131.188.37.207,50004,91.15.236.140,58390,4,0.0-10.0,369491968,295520787
20191202025037,192.168.1.230,58412,131.188.37.207,50004,3,0.0-10.0,491126784,390985208,20191202025037,131.188.37.207,50004,91.15.236.140,58412,4,0.0-10.0,491126784,392142122
20191202025531,192.168.1.230,58434,131.188.37.207,50004,3,0.0-10.0,441057280,351562165,20191202025531,131.188.37.207,50004,91.15.236.140,58434,4,0.0-10.0,441057280,352785180
20191202030026,192.168.1.230,58456,131.188.37.207,50004,3,0.0-10.1,423886848,336594077,20191202030026,131.188.37.207,50004,91.15.236.140,58456,4,0.0-10.0,423886848,339106189
20191202030521,192.168.1.230,58478,131.188.37.207,50004,3,0.0-10.1,425590784,338571244,20191202030521,131.188.37.207,50004,91.15.236.140,58478,4,0.0-10.0,425590784,339907700
20191202031015,192.168.1.230,58500,131.188.37.207,50004,3,0.0-10.1,449576960,357529832,20191202031015,131.188.37.207,50004,91.15.236.140,58500,4,0.0-10.0,449576960,358541984
20191202031510,192.168.1.230,58522,131.188.37.207,50004,3,0.0-10.1,420478976,334291120,20191202031510,131.188.37.207,50004,91.15.236.140,58522,4,0.0-10.0,420478976,335485287
20191202032005,192.168.1.230,58544,131.188.37.207,50004,3,0.0-10.0,435159040,346571334,20191202032005,131.188.37.207,50004,91.15.236.140,58544,4,0.0-10.0,435159040,347776673
20191202032500,192.168.1.230,58566,131.188.37.207,50004,3,0.0-10.1,460718080,366370088,20191202032500,131.188.37.207,50004,91.15.236.140,58566,4,0.0-10.0,460718080,367581149
20191202032954,192.168.1.230,58588,131.188.37.207,50004,3,0.0-10.1,435683328,346641037,20191202032954,131.188.37.207,50004,91.15.236.140,58588,4,0.0-10.0,435683328,348539099
20191202033449,192.168.1.230,58610,131.188.37.207,50004,3,0.0-10.0,401866752,319961044,20191202033449,131.188.37.207,50004,91.15.236.140,58610,4,0.0-10.0,401866752,321490379
20191202033944,192.168.1.230,58632,131.188.37.207,50004,3,0.0-10.0,416940032,332175821,20191202033944,131.188.37.207,50004,91.15.236.140,58632,4,0.0-10.0,416940032,333547722
20191202034439,192.168.1.230,58654,131.188.37.207,50004,3,0.0-10.1,481165312,382996241,20191202034439,131.188.37.207,50004,91.15.236.140,58654,4,0.0-10.0,481165312,384292210
20191202034933,192.168.1.230,58676,131.188.37.207,50004,3,0.0-10.1,478412800,380673006,20191202034933,131.188.37.207,50004,91.15.236.140,58676,4,0.0-10.0,478412800,382720633
20191202035428,192.168.1.230,58698,131.188.37.207,50004,3,0.0-10.0,415367168,331133046,20191202035428,131.188.37.207,50004,91.15.236.140,58698,4,0.0-10.0,415367168,332269445
20191202035923,192.168.1.230,58720,131.188.37.207,50004,3,0.0-10.0,478674944,381392911,20191202035923,131.188.37.207,50004,91.15.236.140,58720,4,0.0-10.0,478674944,382750149
20191202040417,192.168.1.230,58742,131.188.37.207,50004,3,0.0-10.1,435421184,346489534,20191202040417,131.188.37.207,50004,91.15.236.140,58742,4,0.0-10.0,435421184,347790012
20191202040912,192.168.1.230,58764,131.188.37.207,50004,3,0.0-10.1,435683328,344006465,20191202040912,131.188.37.207,50004,91.15.236.140,58764,4,0.0-10.1,435683328,345390723
20191202041407,192.168.1.230,58786,131.188.37.207,50004,3,0.0-10.1,385744896,304259338,20191202041407,131.188.37.207,50004,91.15.236.140,58786,4,0.0-10.1,385744896,305416409
20191202041901,192.168.1.230,58808,131.188.37.207,50004,3,0.0-10.1,458227712,363950010,20191202041901,131.188.37.207,50004,91.15.236.140,58808,4,0.0-10.0,458227712,365339394
20191202042356,192.168.1.230,58830,131.188.37.207,50004,3,0.0-10.1,324534272,257983520,20191202042356,131.188.37.207,50004,91.15.236.140,58830,4,0.0-10.0,324534272,258793662
20191202042851,192.168.1.230,58852,131.188.37.207,50004,3,0.0-10.1,446431232,355154274,20191202042851,131.188.37.207,50004,91.15.236.140,58852,4,0.0-10.0,446431232,356738339
20191202043346,192.168.1.230,58874,131.188.37.207,50004,3,0.0-10.1,442761216,351897149,20191202043346,131.188.37.207,50004,91.15.236.140,58874,4,0.0-10.0,442761216,353370671
20191202043840,192.168.1.230,58896,131.188.37.207,50004,3,0.0-10.0,445382656,354564645,20191202043840,131.188.37.207,50004,91.15.236.140,58896,4,0.0-10.0,445382656,355854794
