clientDate, clientSrcIp, clientSrcPort, clientDstIp, clientDstPort, clientConnId, clientInterval, clientTransferedBytes, clientGoodput, serverDate, serverSrcIp, serverSrcPort, serverDstIp, serverDstPort, serverConnId, serverInterval, serverTransferedBytes, serverGoodput
20191202000238,192.168.0.108,33862,131.188.37.207,50005,3,0.0-10.1,60686336,48232226,20191202000238,131.188.37.207,50005,95.90.222.138,43982,5,0.0-10.2,60686336,47714958
20191202000732,192.168.0.108,33884,131.188.37.207,50005,3,0.0-10.0,61603840,49266311,20191202000732,131.188.37.207,50005,95.90.222.138,43950,4,0.0-10.1,61603840,48891344
20191202001227,192.168.0.108,33906,131.188.37.207,50005,3,0.0-10.1,58851328,46649008,20191202001227,131.188.37.207,50005,95.90.222.138,43926,5,0.0-10.3,58851328,45687675
20191202001721,192.168.0.108,33928,131.188.37.207,50005,3,0.0-10.0,61079552,48743697,20191202001722,131.188.37.207,50005,95.90.222.138,43986,4,0.0-10.1,61079552,48216051
20191202002216,192.168.0.108,33950,131.188.37.207,50005,3,0.0-10.1,56492032,44830952,20191202002216,131.188.37.207,50005,95.90.222.138,43938,5,0.0-10.3,56492032,43896267
20191202002711,192.168.0.108,33972,131.188.37.207,50005,3,0.0-10.0,61341696,48932987,20191202002711,131.188.37.207,50005,95.90.222.138,43966,4,0.0-10.2,61341696,48293156
20191202003205,192.168.0.108,33994,131.188.37.207,50005,3,0.0-10.1,57671680,45728630,20191202003206,131.188.37.207,50005,95.90.222.138,43984,5,0.0-10.3,57671680,44753711
20191202003700,192.168.0.108,34016,131.188.37.207,50005,3,0.0-10.0,61079552,48799470,20191202003700,131.188.37.207,50005,95.90.222.138,43952,4,0.0-10.1,61079552,48412567
20191202004154,192.168.0.108,34038,131.188.37.207,50005,3,0.0-10.1,49152000,38955816,20191202004155,131.188.37.207,50005,95.90.222.138,43948,5,0.0-10.4,49152000,37874582
20191202004649,192.168.0.108,34060,131.188.37.207,50005,3,0.0-10.1,61210624,48699449,20191202004649,131.188.37.207,50005,95.90.222.138,43958,4,0.0-10.2,61210624,48244631
20191202005143,192.168.0.108,34082,131.188.37.207,50005,3,0.0-10.0,61210624,48809487,20191202005144,131.188.37.207,50005,95.90.222.138,44014,5,0.0-10.2,61210624,47802304
20191202005638,192.168.0.108,34104,131.188.37.207,50005,3,0.0-10.1,60030976,47626518,20191202005638,131.188.37.207,50005,95.90.222.138,43998,4,0.0-10.3,60030976,46437141
20191202010133,192.168.0.108,34126,131.188.37.207,50005,3,0.0-10.1,59506688,47119445,20191202010133,131.188.37.207,50005,95.90.222.138,44020,5,0.0-10.3,59506688,46206687
20191202010627,192.168.0.108,34148,131.188.37.207,50005,3,0.0-10.0,60817408,48640209,20191202010627,131.188.37.207,50005,95.90.222.138,43952,4,0.0-10.1,60817408,48334200
20191202011122,192.168.0.108,34170,131.188.37.207,50005,3,0.0-10.1,62259200,49555163,20191202011122,131.188.37.207,50005,95.90.222.138,44014,5,0.0-10.3,62259200,48184221
20191202011616,192.168.0.108,34192,131.188.37.207,50005,3,0.0-10.0,59375616,47421171,20191202011616,131.188.37.207,50005,95.90.222.138,43978,4,0.0-10.2,59375616,46456630
20191202012110,192.168.0.108,34214,131.188.37.207,50005,3,0.0-10.0,61734912,49281865,20191202012111,131.188.37.207,50005,95.90.222.138,43960,5,0.0-10.1,61734912,48876413
20191202012605,192.168.0.108,34236,131.188.37.207,50005,3,0.0-10.0,59899904,47739724,20191202012605,131.188.37.207,50005,95.90.222.138,43956,4,0.0-10.1,59899904,47443861
20191202013100,192.168.0.108,34258,131.188.37.207,50005,3,0.0-10.1,53215232,42168042,20191202013100,131.188.37.207,50005,95.90.222.138,44010,5,0.0-10.3,53215232,41345441
20191202013554,192.168.0.108,34280,131.188.37.207,50005,3,0.0-10.1,52297728,41602665,20191202013555,131.188.37.207,50005,95.90.222.138,43996,4,0.0-10.3,52297728,40743760
20191202014049,192.168.0.108,34302,131.188.37.207,50005,3,0.0-10.1,60162048,47641626,20191202014049,131.188.37.207,50005,95.90.222.138,43968,5,0.0-10.3,60162048,46655669
20191202014543,192.168.0.108,34324,131.188.37.207,50005,3,0.0-10.1,60424192,47930734,20191202014543,131.188.37.207,50005,95.90.222.138,43988,4,0.0-10.3,60424192,47095385
20191202015038,192.168.0.108,34346,131.188.37.207,50005,3,0.0-10.1,58458112,46482574,20191202015038,131.188.37.207,50005,95.90.222.138,43980,5,0.0-10.1,58458112,46093696
20191202015533,192.168.0.108,34368,131.188.37.207,50005,3,0.0-10.0,60424192,48241486,20191202015533,131.188.37.207,50005,95.90.222.138,43936,4,0.0-10.2,60424192,47264354
20191202020028,192.168.0.108,34390,131.188.37.207,50005,3,0.0-10.1,62914560,49779503,20191202020028,131.188.37.207,50005,95.90.222.138,43930,5,0.0-10.3,62914560,48878281
20191202020522,192.168.0.108,34412,131.188.37.207,50005,3,0.0-10.1,61734912,48994946,20191202020522,131.188.37.207,50005,95.90.222.138,44022,4,0.0-10.2,61734912,48199112
20191202021016,192.168.0.108,34434,131.188.37.207,50005,3,0.0-10.0,54788096,43737032,20191202021016,131.188.37.207,50005,95.90.222.138,44010,5,0.0-10.1,54788096,43340868
20191202021511,192.168.0.108,34456,131.188.37.207,50005,3,0.0-10.1,59768832,47284766,20191202021511,131.188.37.207,50005,95.90.222.138,43996,4,0.0-10.3,59768832,46335278
20191202022005,192.168.0.108,34478,131.188.37.207,50005,3,0.0-10.0,61603840,49232588,20191202022005,131.188.37.207,50005,95.90.222.138,43954,5,0.0-10.2,61603840,48380979
20191202022500,192.168.0.108,34500,131.188.37.207,50005,3,0.0-10.0,60293120,48214231,20191202022500,131.188.37.207,50005,95.90.222.138,43974,4,0.0-10.1,60293120,47740713
20191202022954,192.168.0.108,34522,131.188.37.207,50005,3,0.0-10.1,60424192,47963492,20191202022955,131.188.37.207,50005,95.90.222.138,43950,5,0.0-10.3,60424192,47052157
20191202023449,192.168.0.108,34544,131.188.37.207,50005,3,0.0-10.1,50593792,40247882,20191202023449,131.188.37.207,50005,95.90.222.138,43998,4,0.0-10.3,50593792,39433350
20191202023943,192.168.0.108,34566,131.188.37.207,50005,3,0.0-10.1,60162048,47598308,20191202023944,131.188.37.207,50005,95.90.222.138,43960,5,0.0-10.3,60162048,46642557
20191202024438,192.168.0.108,34588,131.188.37.207,50005,3,0.0-10.1,58982400,46722581,20191202024438,131.188.37.207,50005,95.90.222.138,43938,4,0.0-10.3,58982400,45783946
20191202024934,192.168.0.108,34610,131.188.37.207,50005,3,0.0-10.4,9830400,7566934,20191202024934,131.188.37.207,50005,95.90.222.138,43944,5,0.0-10.9,9830400,7218181
20191202025428,192.168.0.108,34632,131.188.37.207,50005,3,0.0-10.2,8257536,6501407,20191202025429,131.188.37.207,50005,95.90.222.138,44000,4,0.0-10.4,8257536,6324159
20191202025923,192.168.0.108,34654,131.188.37.207,50005,3,0.0-10.1,7733248,6119647,20191202025923,131.188.37.207,50005,95.90.222.138,43932,5,0.0-10.3,7733248,6002769
20191202030418,192.168.0.108,34676,131.188.37.207,50005,3,0.0-10.1,9699328,7660336,20191202030418,131.188.37.207,50005,95.90.222.138,44016,4,0.0-10.3,9699328,7559055
20191202030913,192.168.0.108,34698,131.188.37.207,50005,3,0.0-10.1,6815744,5401364,20191202030913,131.188.37.207,50005,95.90.222.138,44006,5,0.0-10.2,6815744,5320310
20191202031407,192.168.0.108,34720,131.188.37.207,50005,3,0.0-10.1,6291456,5007304,20191202031407,131.188.37.207,50005,95.90.222.138,44014,4,0.0-10.2,6291456,4956948
20191202031901,192.168.0.108,34742,131.188.37.207,50005,3,0.0-10.1,7864320,6206235,20191202031901,131.188.37.207,50005,95.90.222.138,43996,5,0.0-10.3,7864320,6114435
20191202032357,192.168.0.108,34764,131.188.37.207,50005,3,0.0-10.1,11010048,8722820,20191202032357,131.188.37.207,50005,95.90.222.138,43988,4,0.0-10.2,11010048,8617125
20191202032851,192.168.0.108,34786,131.188.37.207,50005,3,0.0-10.1,8650752,6854179,20191202032851,131.188.37.207,50005,95.90.222.138,43952,5,0.0-10.3,8650752,6745181
20191202033346,192.168.0.108,34808,131.188.37.207,50005,3,0.0-10.0,6553600,5236081,20191202033346,131.188.37.207,50005,95.90.222.138,43924,4,0.0-10.1,6553600,5172563
20191202033841,192.168.0.108,34830,131.188.37.207,50005,3,0.0-10.0,7602176,6072197,20191202033841,131.188.37.207,50005,95.90.222.138,43940,5,0.0-10.1,7602176,6042599
20191202034335,192.168.0.108,34852,131.188.37.207,50005,3,0.0-10.1,7077888,5604418,20191202034336,131.188.37.207,50005,95.90.222.138,44014,4,0.0-10.2,7077888,5531402
20191202034831,192.168.0.108,34874,131.188.37.207,50005,3,0.0-10.1,8781824,6968223,20191202034831,131.188.37.207,50005,95.90.222.138,43966,5,0.0-10.3,8781824,6829065
20191202035325,192.168.0.108,34896,131.188.37.207,50005,3,0.0-10.0,8781824,6996013,20191202035325,131.188.37.207,50005,95.90.222.138,44002,4,0.0-10.1,8781824,6970409
20191202035820,192.168.0.108,34918,131.188.37.207,50005,3,0.0-10.2,7602176,5947906,20191202035820,131.188.37.207,50005,95.90.222.138,43998,5,0.0-10.4,7602176,5838049
20191202040314,192.168.0.108,34940,131.188.37.207,50005,3,0.0-10.1,8650752,6825606,20191202040314,131.188.37.207,50005,95.90.222.138,43924,4,0.0-10.3,8650752,6743672
20191202040809,192.168.0.108,34962,131.188.37.207,50005,3,0.0-10.1,7995392,6323239,20191202040809,131.188.37.207,50005,95.90.222.138,43984,5,0.0-10.1,7995392,6307787
20191202041304,192.168.0.108,34984,131.188.37.207,50005,3,0.0-10.1,8912896,7058120,20191202041304,131.188.37.207,50005,95.90.222.138,43978,4,0.0-10.2,8912896,6986999
20191202041758,192.168.0.108,35006,131.188.37.207,50005,3,0.0-10.2,6815744,5357968,20191202041758,131.188.37.207,50005,95.90.222.138,44002,5,0.0-10.3,6815744,5315652
20191202042253,192.168.0.108,35028,131.188.37.207,50005,3,0.0-10.2,7471104,5873478,20191202042253,131.188.37.207,50005,95.90.222.138,43974,4,0.0-10.4,7471104,5742627
20191202042748,192.168.0.108,35050,131.188.37.207,50005,3,0.0-10.3,7340032,5722351,20191202042748,131.188.37.207,50005,95.90.222.138,44006,5,0.0-10.6,7340032,5552592
20191202043243,192.168.0.108,35072,131.188.37.207,50005,3,0.0-10.1,9568256,7586154,20191202043243,131.188.37.207,50005,95.90.222.138,44020,4,0.0-10.2,9568256,7495844
20191202043737,192.168.0.108,35094,131.188.37.207,50005,3,0.0-10.0,7471104,5959249,20191202043737,131.188.37.207,50005,95.90.222.138,43986,5,0.0-10.3,7471104,5824592
20191202044232,192.168.0.108,35116,131.188.37.207,50005,3,0.0-10.0,9699328,7749034,20191202044232,131.188.37.207,50005,95.90.222.138,43970,4,0.0-10.1,9699328,7683660
20191202044726,192.168.0.108,35138,131.188.37.207,50005,3,0.0-10.3,6946816,5414279,20191202044727,131.188.37.207,50005,95.90.222.138,43992,5,0.0-10.8,6946816,5133226
20191202045221,192.168.0.108,35160,131.188.37.207,50005,3,0.0-10.0,9175040,7334403,20191202045221,131.188.37.207,50005,95.90.222.138,43956,4,0.0-10.1,9175040,7258678
20191202045716,192.168.0.108,35182,131.188.37.207,50005,3,0.0-10.2,8781824,6913282,20191202045716,131.188.37.207,50005,95.90.222.138,43984,5,0.0-10.3,8781824,6817125
20191202050210,192.168.0.108,35204,131.188.37.207,50005,3,0.0-10.1,10354688,8238035,20191202050210,131.188.37.207,50005,95.90.222.138,44006,4,0.0-10.3,10354688,8072582
20191202050705,192.168.0.108,35226,131.188.37.207,50005,3,0.0-10.0,9043968,7223350,20191202050705,131.188.37.207,50005,95.90.222.138,43998,5,0.0-10.2,9043968,7110329
20191202051159,192.168.0.108,35248,131.188.37.207,50005,3,0.0-10.0,8912896,7103709,20191202051159,131.188.37.207,50005,95.90.222.138,43960,4,0.0-10.1,8912896,7031166
20191202051654,192.168.0.108,35270,131.188.37.207,50005,3,0.0-10.0,9175040,7305201,20191202051654,131.188.37.207,50005,95.90.222.138,43924,5,0.0-10.1,9175040,7253312
20191202052148,192.168.0.108,35292,131.188.37.207,50005,3,0.0-10.1,7077888,5622955,20191202052148,131.188.37.207,50005,95.90.222.138,43936,4,0.0-10.2,7077888,5556954
20191202052643,192.168.0.108,35314,131.188.37.207,50005,3,0.0-10.0,9568256,7617377,20191202052643,131.188.37.207,50005,95.90.222.138,43956,5,0.0-10.1,9568256,7581912
20191202053137,192.168.0.108,35336,131.188.37.207,50005,3,0.0-10.1,9175040,7295635,20191202053137,131.188.37.207,50005,95.90.222.138,44014,4,0.0-10.1,9175040,7251709
20191202053633,192.168.0.108,35358,131.188.37.207,50005,3,0.0-10.1,8519680,6752292,20191202053633,131.188.37.207,50005,95.90.222.138,44020,5,0.0-10.2,8519680,6662735
20191202054127,192.168.0.108,35380,131.188.37.207,50005,3,0.0-10.0,10223616,8167725,20191202054127,131.188.37.207,50005,95.90.222.138,44002,4,0.0-10.1,10223616,8088370
20191202054622,192.168.0.108,35402,131.188.37.207,50005,3,0.0-10.2,11272192,8878898,20191202054622,131.188.37.207,50005,95.90.222.138,43964,5,0.0-10.4,11272192,8682539
20191202055117,192.168.0.108,35424,131.188.37.207,50005,3,0.0-10.2,9568256,7482805,20191202055117,131.188.37.207,50005,95.90.222.138,44016,4,0.0-10.4,9568256,7337744
20191202055611,192.168.0.108,35446,131.188.37.207,50005,3,0.0-10.1,7340032,5836643,20191202055611,131.188.37.207,50005,95.90.222.138,43934,5,0.0-10.2,7340032,5780540
20191202060106,192.168.0.108,35468,131.188.37.207,50005,3,0.0-10.0,8781824,7001072,20191202060106,131.188.37.207,50005,95.90.222.138,43988,4,0.0-10.2,8781824,6881516
20191202060600,192.168.0.108,35490,131.188.37.207,50005,3,0.0-10.1,7995392,6344959,20191202060600,131.188.37.207,50005,95.90.222.138,43974,5,0.0-10.1,7995392,6328158
20191202061055,192.168.0.108,35512,131.188.37.207,50005,3,0.0-10.1,6815744,5413050,20191202061055,131.188.37.207,50005,95.90.222.138,44018,4,0.0-10.2,6815744,5340666
20191202061549,192.168.0.108,35534,131.188.37.207,50005,3,0.0-10.1,8781824,6989369,20191202061549,131.188.37.207,50005,95.90.222.138,43950,5,0.0-10.3,8781824,6831509
20191202062044,192.168.0.108,35556,131.188.37.207,50005,3,0.0-10.2,9306112,7314915,20191202062044,131.188.37.207,50005,95.90.222.138,44002,4,0.0-10.4,9306112,7124411
20191202062539,192.168.0.108,35578,131.188.37.207,50005,3,0.0-10.0,8650752,6911860,20191202062539,131.188.37.207,50005,95.90.222.138,43982,5,0.0-10.1,8650752,6852754
20191202063033,192.168.0.108,35600,131.188.37.207,50005,3,0.0-10.1,7340032,5821184,20191202063033,131.188.37.207,50005,95.90.222.138,43980,4,0.0-10.4,7340032,5623215
20191202063528,192.168.0.108,35622,131.188.37.207,50005,3,0.0-10.2,7864320,6162487,20191202063528,131.188.37.207,50005,95.90.222.138,43966,5,0.0-10.3,7864320,6090474
20191202064022,192.168.0.108,35644,131.188.37.207,50005,3,0.0-10.1,9830400,7813245,20191202064022,131.188.37.207,50005,95.90.222.138,44022,4,0.0-10.2,9830400,7743848
20191202064517,192.168.0.108,35666,131.188.37.207,50005,3,0.0-10.2,9437184,7433343,20191202064517,131.188.37.207,50005,95.90.222.138,43954,5,0.0-10.2,9437184,7394493
20191202065011,192.168.0.108,35688,131.188.37.207,50005,3,0.0-10.0,8519680,6806263,20191202065011,131.188.37.207,50005,95.90.222.138,43998,4,0.0-10.1,8519680,6742899
20191202065506,192.168.0.108,35710,131.188.37.207,50005,3,0.0-10.0,9699328,7734681,20191202065506,131.188.37.207,50005,95.90.222.138,43960,5,0.0-10.3,9699328,7548944
20191202070001,192.168.0.108,35732,131.188.37.207,50005,3,0.0-10.1,9961472,7898445,20191202070001,131.188.37.207,50005,95.90.222.138,43972,4,0.0-10.2,9961472,7817313
20191202070455,192.168.0.108,35754,131.188.37.207,50005,3,0.0-10.0,6029312,4806308,20191202070455,131.188.37.207,50005,95.90.222.138,43968,5,0.0-10.1,6029312,4770060
20191202070950,192.168.0.108,35776,131.188.37.207,50005,3,0.0-10.1,8650752,6821773,20191202070950,131.188.37.207,50005,95.90.222.138,43924,4,0.0-10.4,8650752,6677501
20191202071444,192.168.0.108,35798,131.188.37.207,50005,3,0.0-10.0,8388608,6681724,20191202071444,131.188.37.207,50005,95.90.222.138,43962,5,0.0-10.2,8388608,6582488
20191202071939,192.168.0.108,35820,131.188.37.207,50005,3,0.0-10.2,8912896,7020611,20191202071939,131.188.37.207,50005,95.90.222.138,43986,4,0.0-10.2,8912896,6962121
20191202072433,192.168.0.108,35842,131.188.37.207,50005,3,0.0-10.1,9830400,7783904,20191202072433,131.188.37.207,50005,95.90.222.138,43948,5,0.0-10.3,9830400,7638035
20191202072928,192.168.0.108,35864,131.188.37.207,50005,3,0.0-10.1,7208960,5694905,20191202072928,131.188.37.207,50005,95.90.222.138,43956,4,0.0-10.2,7208960,5636503
20191202073423,192.168.0.108,35886,131.188.37.207,50005,3,0.0-10.1,6684672,5313314,20191202073423,131.188.37.207,50005,95.90.222.138,43952,5,0.0-10.3,6684672,5212351
20191202073917,192.168.0.108,35908,131.188.37.207,50005,3,0.0-10.2,8781824,6860105,20191202073917,131.188.37.207,50005,95.90.222.138,44018,4,0.0-10.4,8781824,6767302
