clientDate, clientSrcIp, clientSrcPort, clientDstIp, clientDstPort, clientConnId, clientInterval, clientTransferedBytes, clientGoodput, serverDate, serverSrcIp, serverSrcPort, serverDstIp, serverDstPort, serverConnId, serverInterval, serverTransferedBytes, serverGoodput
20191202000303,192.168.1.230,55718,131.188.37.207,50005,3,0.0-10.1,41418752,32919258,20191202000303,131.188.37.207,50005,91.15.236.140,55718,4,0.0-10.4,41418752,31937040
20191202000758,192.168.1.230,55740,131.188.37.207,50005,3,0.0-10.1,41680896,33073527,20191202000758,131.188.37.207,50005,91.15.236.140,55740,5,0.0-10.4,41680896,32041948
20191202001252,192.168.1.230,55762,131.188.37.207,50005,3,0.0-10.1,41680896,33059518,20191202001253,131.188.37.207,50005,91.15.236.140,55762,4,0.0-10.4,41680896,32047319
20191202001747,192.168.1.230,55784,131.188.37.207,50005,3,0.0-10.2,41943040,32957913,20191202001747,131.188.37.207,50005,91.15.236.140,55784,5,0.0-10.5,41943040,32042016
20191202002241,192.168.1.230,55806,131.188.37.207,50005,3,0.0-10.0,41287680,32950108,20191202002242,131.188.37.207,50005,91.15.236.140,55806,4,0.0-10.3,41287680,32001823
20191202002736,192.168.1.230,55828,131.188.37.207,50005,3,0.0-10.1,41549824,32962156,20191202002736,131.188.37.207,50005,91.15.236.140,55828,5,0.0-10.4,41549824,31998638
20191202003231,192.168.1.230,55850,131.188.37.207,50005,3,0.0-10.1,41549824,33027604,20191202003231,131.188.37.207,50005,91.15.236.140,55850,4,0.0-10.4,41549824,32048287
20191202003725,192.168.1.230,55872,131.188.37.207,50005,3,0.0-10.2,41943040,33001339,20191202003725,131.188.37.207,50005,91.15.236.140,55872,5,0.0-10.5,41943040,32048042
20191202004220,192.168.1.230,55894,131.188.37.207,50005,3,0.0-10.2,41943040,32949861,20191202004220,131.188.37.207,50005,91.15.236.140,55894,4,0.0-10.5,41943040,31925995
20191202004714,192.168.1.230,55916,131.188.37.207,50005,3,0.0-10.0,41418752,33009627,20191202004714,131.188.37.207,50005,91.15.236.140,55916,5,0.0-10.3,41418752,32047517
20191202005209,192.168.1.230,55938,131.188.37.207,50005,3,0.0-10.2,40108032,31538438,20191202005209,131.188.37.207,50005,91.15.236.140,55938,4,0.0-10.5,40108032,30592423
20191202005703,192.168.1.230,55960,131.188.37.207,50005,3,0.0-10.2,41943040,32994262,20191202005704,131.188.37.207,50005,91.15.236.140,55960,5,0.0-10.5,41943040,32040107
20191202010158,192.168.1.230,55982,131.188.37.207,50005,3,0.0-10.1,41680896,32891761,20191202010158,131.188.37.207,50005,91.15.236.140,55982,4,0.0-10.4,41680896,31964928
20191202010652,192.168.1.230,56004,131.188.37.207,50005,3,0.0-10.1,41680896,33022545,20191202010653,131.188.37.207,50005,91.15.236.140,56004,5,0.0-10.4,41680896,32044821
20191202011147,192.168.1.230,56026,131.188.37.207,50005,3,0.0-10.2,41943040,33020246,20191202011147,131.188.37.207,50005,91.15.236.140,56026,4,0.0-10.5,41943040,32029730
20191202011641,192.168.1.230,56048,131.188.37.207,50005,3,0.0-10.1,41680896,32927160,20191202011642,131.188.37.207,50005,91.15.236.140,56048,5,0.0-10.4,41680896,32007015
20191202012136,192.168.1.230,56070,131.188.37.207,50005,3,0.0-10.1,40501248,32159608,20191202012136,131.188.37.207,50005,91.15.236.140,56070,4,0.0-10.4,40501248,31231229
20191202012630,192.168.1.230,56092,131.188.37.207,50005,3,0.0-10.0,41418752,33006185,20191202012631,131.188.37.207,50005,91.15.236.140,56092,5,0.0-10.3,41418752,32041080
20191202013125,192.168.1.230,56114,131.188.37.207,50005,3,0.0-10.1,41418752,32857998,20191202013125,131.188.37.207,50005,91.15.236.140,56114,4,0.0-10.4,41418752,31834321
20191202013620,192.168.1.230,56136,131.188.37.207,50005,3,0.0-10.1,41811968,32972391,20191202013620,131.188.37.207,50005,91.15.236.140,56136,5,0.0-10.5,41811968,32003517
20191202014114,192.168.1.230,56158,131.188.37.207,50005,3,0.0-10.0,41156608,32843070,20191202014114,131.188.37.207,50005,91.15.236.140,56158,4,0.0-10.4,41156608,31799464
20191202014608,192.168.1.230,56180,131.188.37.207,50005,3,0.0-10.1,41811968,32964800,20191202014609,131.188.37.207,50005,91.15.236.140,56180,5,0.0-10.4,41811968,32042391
20191202015103,192.168.1.230,56202,131.188.37.207,50005,3,0.0-10.0,40763392,32479195,20191202015103,131.188.37.207,50005,91.15.236.140,56202,4,0.0-10.4,40763392,31440798
20191202015558,192.168.1.230,56224,131.188.37.207,50005,3,0.0-10.1,41680896,32968715,20191202015559,131.188.37.207,50005,91.15.236.140,56224,5,0.0-10.4,41680896,32049873
