clientDate, clientSrcIp, clientSrcPort, clientDstIp, clientDstPort, clientConnId, clientInterval, clientTransferedBytes, clientGoodput, serverDate, serverSrcIp, serverSrcPort, serverDstIp, serverDstPort, serverConnId, serverInterval, serverTransferedBytes, serverGoodput
20191202000329,192.168.1.230,55722,131.188.37.207,50005,3,0.0-10.1,98041856,77875429,20191202000329,131.188.37.207,50005,91.15.236.140,55722,5,0.0-10.2,98041856,76797746
20191202000823,192.168.1.230,55744,131.188.37.207,50005,3,0.0-10.1,100925440,80201988,20191202000823,131.188.37.207,50005,91.15.236.140,55744,4,0.0-10.2,100925440,79057053
20191202001318,192.168.1.230,55766,131.188.37.207,50005,3,0.0-10.0,100401152,80032221,20191202001318,131.188.37.207,50005,91.15.236.140,55766,5,0.0-10.2,100401152,78916150
20191202001813,192.168.1.230,55788,131.188.37.207,50005,3,0.0-10.1,94502912,74839431,20191202001813,131.188.37.207,50005,91.15.236.140,55788,4,0.0-10.3,94502912,73458923
20191202002307,192.168.1.230,55810,131.188.37.207,50005,3,0.0-10.1,90177536,71752341,20191202002307,131.188.37.207,50005,91.15.236.140,55810,5,0.0-10.2,90177536,70706884
20191202002802,192.168.1.230,55832,131.188.37.207,50005,3,0.0-10.1,99221504,78956271,20191202002802,131.188.37.207,50005,91.15.236.140,55832,4,0.0-10.2,99221504,77932199
20191202003256,192.168.1.230,55854,131.188.37.207,50005,3,0.0-10.0,97255424,77753604,20191202003256,131.188.37.207,50005,91.15.236.140,55854,5,0.0-10.1,97255424,76711166
20191202003751,192.168.1.230,55876,131.188.37.207,50005,3,0.0-10.0,99221504,79308197,20191202003751,131.188.37.207,50005,91.15.236.140,55876,4,0.0-10.2,99221504,78179939
20191202004245,192.168.1.230,55898,131.188.37.207,50005,3,0.0-10.0,79691776,63646558,20191202004246,131.188.37.207,50005,91.15.236.140,55898,5,0.0-10.2,79691776,62804062
20191202004740,192.168.1.230,55920,131.188.37.207,50005,3,0.0-10.1,99090432,78653016,20191202004740,131.188.37.207,50005,91.15.236.140,55920,4,0.0-10.2,99090432,77575391
20191202005234,192.168.1.230,55942,131.188.37.207,50005,3,0.0-10.0,83755008,66699277,20191202005234,131.188.37.207,50005,91.15.236.140,55942,5,0.0-10.2,83755008,65867696
20191202005729,192.168.1.230,55964,131.188.37.207,50005,3,0.0-10.0,82706432,65997525,20191202005729,131.188.37.207,50005,91.15.236.140,55964,4,0.0-10.1,82706432,65188684
20191202010224,192.168.1.230,55986,131.188.37.207,50005,3,0.0-10.0,84017152,67115142,20191202010224,131.188.37.207,50005,91.15.236.140,55986,5,0.0-10.2,84017152,66004752
20191202010718,192.168.1.230,56008,131.188.37.207,50005,3,0.0-10.0,98697216,78927085,20191202010718,131.188.37.207,50005,91.15.236.140,56008,4,0.0-10.2,98697216,77378531
20191202011213,192.168.1.230,56030,131.188.37.207,50005,3,0.0-10.0,99221504,79028049,20191202011213,131.188.37.207,50005,91.15.236.140,56030,5,0.0-10.2,99221504,77926760
20191202011707,192.168.1.230,56052,131.188.37.207,50005,3,0.0-10.0,100532224,80146125,20191202011707,131.188.37.207,50005,91.15.236.140,56052,4,0.0-10.2,100532224,79106659
